Code,Problem Name,Obj Value
opt,graphpart_3g-0444-0444,-7603756
opt,graphpart_3pm-0234-0234,-20
opt,graphpart_3pm-0244-0244,-28
opt,graphpart_3pm-0333-0333,-26
opt,graphpart_3pm-0334-0334,-36
opt,graphpart_3pm-0344-0344,-48
best,graphpart_3pm-0444-0444,-65
bestdual,graphpart_3pm-0444-0444,-69
opt,graphpart_clique-20,147
opt,graphpart_clique-30,495
opt,graphpart_clique-40,1183
bestdual,graphpart_clique-50,1216
best,graphpart_clique-50,2312
bestdual,graphpart_clique-60,1565
best,graphpart_clique-60,3990
bestdual,graphpart_clique-70,1987
best,graphpart_clique-70,6348
opt,gsg_0001,2378.160513
opt,gt1,56589
opt,gt2,21166
opt,gt2.mps.cuts,9258
opt,gt2.pre,21166
opt,gtm,543.5650948
opt,gwin10_f_l,6.9261
opt,gwin10_f_l_nonp,6.9197
opt,gwin7_f_cost,1100.0115
opt,gwin7_nos_cost_nonp,1100
opt,gwin7_nos_load,3.3992
opt,gwin8_f_l_nonp,7.0909
opt,gwin8_nos_l_nonp,5.0223
opt,hamming10-2.clq,512
opt,hamming6-2.clq,32
opt,hamming6-2.pr.10,-257
opt,hamming6-4.pr.10,-301
opt,hamming8-2.clq,128
opt,hamming8-2.pr.10,-1187
opt,hanoi5,1931
opt,haprp,3673280.68
opt,harker,-986.513484
opt,harp2,-73899798
inf,harp2_inf,
opt,haverly,-400
opt,hda,-5964.534084
best,heart-cleveland_q,43
bestdual,heatexch_gen1,100500
best,heatexch_gen1,154895.933
bestdual,heatexch_gen2,579990.0125
best,heatexch_gen2,634200.3812
bestdual,heatexch_gen3,55948.51172
best,heatexch_gen3,64898.22835
bestdual,heatexch_spec1,150883
best,heatexch_spec1,154997.3349
bestdual,heatexch_spec2,634151.49
best,heatexch_spec2,634977.8284
bestdual,heatexch_spec3,58401.20286
best,heatexch_spec3,64141.64425
bestdual,heatexch_trigen,1003349.614
best,heatexch_trigen,1001973.081
inf,hfo5.005.0,
opt,hfo5.006.1,30
inf,hfo5.008.0,
opt,hfo5.022.1,35
inf,hfo6.004.0,
opt,hfo6.005.1,19
inf,hfo7.015.0,
opt,hfo7.016.1,17
opt,hfo8.007.1,21
opt,hfo8.035.1,15
inf,hfo8.036.0,
best,hhfair,-87.15903761
opt,himmel11,-30665.53867
opt,himmel16,-0.8660254038
opt,hmittelman,13
opt,holmberg_p1,8848
opt,holmberg_p10,7617
opt,holmberg_p11,8932
opt,holmberg_p12,10132
opt,holmberg_p13,8252
opt,holmberg_p14,7137
opt,holmberg_p15,8808
opt,holmberg_p16,10408
opt,holmberg_p17,8227
opt,holmberg_p18,7125
opt,holmberg_p19,8886
opt,holmberg_p2,7913
opt,holmberg_p20,10486
opt,holmberg_p21,8068
opt,holmberg_p22,7092
opt,holmberg_p23,8746
opt,holmberg_p24,10273
opt,holmberg_p28,13722
opt,holmberg_p3,9314
opt,holmberg_p4,10714
opt,holmberg_p43,5214
opt,holmberg_p44,7028
opt,holmberg_p45,6251
opt,holmberg_p47,6228
opt,holmberg_p48,5596
opt,holmberg_p49,5302
opt,holmberg_p5,8838
opt,holmberg_p52,9178
opt,holmberg_p53,8531
opt,holmberg_p54,8777
opt,holmberg_p56,21103
opt,holmberg_p57,26039
opt,holmberg_p58,37239
opt,holmberg_p6,7777
opt,holmberg_p61,24454
opt,holmberg_p7,9488
opt,holmberg_p8,11088
opt,holmberg_p9,8462
opt,homer.col,13
opt,homer.stab,341
opt,house,-4500
best,hs62,-26272.54101
bestdual,hs62,-26274.00054
opt,huck.stab,27
opt,hybriddynamic_fixed,1.473777778
opt,hybriddynamic_fixedcc,1.473777778
opt,hybriddynamic_var,1.536415162
opt,hybriddynamic_varcc,1.536415161
opt,hydro,4366944.16
best,hydroenergy1,209721.0066
bestdual,hydroenergy1,209899.6852
best,hydroenergy2,371811.847
bestdual,hydroenergy2,376974.304
best,hydroenergy3,744963.7246
bestdual,hydroenergy3,761891.8097
opt,iair04,56162.2057
opt,iair05,26391.3271
opt,ibc1,3.5437
opt,ibell3a,878784.9975
opt,ibienst1,48.7377
bestdual,ibs2,4.449534331
best,ibs2,4.452848417
opt,ic97_potential,3942
opt,icap6000,-2448337
best,icvxqp1,395591.9998
opt,ieilD76,888.6912
opt,iis-100-0-cov,29
opt,iis-bupa-cov,36
opt,iis-pima-cov,33
opt,ilaser0,0
opt,ilp_bol1,2412
opt,ilp_bol5,2530
opt,ilp_bos5,2418
opt,ilp_ma1,532
opt,ilp_ma2,532
opt,ilp_rol6,144
opt,ilp_rol7,138
opt,ilp_rol8,132
opt,ilp_rol9,132
opt,ilp_ros2,144
opt,ilp_ros3,114
opt,ilp_ros4,102
opt,ilp_ros5,96
opt,ilp_ros6,96
inf,ilp_st3,
opt,imas284,91407.9925
opt,imisc07,2814.1907
opt,immun,0
best,imod011,0
best,in,231
bestdual,infeas1,16472.31762
best,infeas1,13685.59646
opt,inithx.i.1.stab,566
opt,inithx.i.2.stab,365
opt,inithx.i.3.stab,360
opt,inug06-3rd,1318
opt,inug08,7213
best,ionosphere_q,9
best,iportfolio,-0.4943
opt,iqap10,353.8281
opt,iqiu,-127.0808
opt,iran13x13,3258.557
opt,iran8x32,5255.4478
best,iris.1_q,30
opt,iris.2_q,1
opt,irp,12159.4928
best,ising2.5-100_5555,2436696
best,ising2.5-150_5555,4241758
best,ising3.0-100_5555,2399600
best,ising3.0-150_5555,4150523
best,isqp,-21001.451
opt,isqp0,-20319.5144
opt,isqp1,-18992.6801
opt,iswath2,387.1628
opt,itointqor,-1146.7
inf,itox_vc1216,
inf,itox_vc909,
inf,itox_vc965,
inf,itox_vc979,
opt,ivalues,-1.1657
best,ivu06-big,213.01
best,ivu52,481.0164
opt,j301_2,47
best,janos-us-DDM,1493300
opt,jbearing100,-0.1550419616
opt,jbearing25,-0.1540155401
opt,jbearing50,-0.1548242221
opt,jbearing75,-0.1549845346
opt,je2A,7217766.92
opt,jean.stab,38
opt,jit1,173983.33
opt,johnall,-224.7301616
opt,johnson16-2-4.pr.10,-599
opt,johnson8-2-4.clq,4
opt,johnson8-2-4.pr.10,-127
opt,johnson8-4-4.clq,14
bestdual,kall_circles_c6a,2.111712809
best,kall_circles_c6a,2.111715465
bestdual,kall_circles_c6b,1.973596805
best,kall_circles_c6b,1.973599702
bestdual,kall_circles_c6c,0.0389589737
best,kall_circles_c6c,2.797704148
opt,kall_circles_c7a,2.662812179
best,kall_circles_c8a,2.540919138
bestdual,kall_circles_c8a,2.540772807
opt,kall_circlespolygons_c1p11,0.1996018366
best,kall_circlespolygons_c1p12,0.3396018366
bestdual,kall_circlespolygons_c1p12,0.3395632284
best,kall_circlespolygons_c1p13,0.3396018366
bestdual,kall_circlespolygons_c1p13,0.3395855435
bestdual,kall_circlespolygons_c1p5a,0
best,kall_circlespolygons_c1p5a,2.848720213
best,kall_circlespolygons_c1p5b,3.870511173
bestdual,kall_circlespolygons_c1p5b,0
best,kall_circlespolygons_c1p6a,3.848720213
bestdual,kall_circlespolygons_c1p6a,0
opt,kall_circlesrectangles_c1r11,0.1996018362
best,kall_circlesrectangles_c1r12,0.3396018363
bestdual,kall_circlesrectangles_c1r12,0.3395865246
best,kall_circlesrectangles_c1r13,0.2146018366
bestdual,kall_circlesrectangles_c1r13,0.2146003358
bestdual,kall_circlesrectangles_c6r1,0
best,kall_circlesrectangles_c6r1,7.164500273
bestdual,kall_circlesrectangles_c6r29,0
best,kall_circlesrectangles_c6r29,6.41191945
bestdual,kall_circlesrectangles_c6r39,0
best,kall_circlesrectangles_c6r39,6.654698081
opt,kall_congruentcircles_c31,0.6438055098
opt,kall_congruentcircles_c32,1.375856317
opt,kall_congruentcircles_c41,0.8584073463
opt,kall_congruentcircles_c42,0.858407346
opt,kall_congruentcircles_c51,1.073009183
opt,kall_congruentcircles_c52,1.537110798
best,kall_congruentcircles_c61,1.28761102
bestdual,kall_congruentcircles_c61,1.287607773
opt,kall_congruentcircles_c62,1.28761102
opt,kall_congruentcircles_c63,1.287611018
opt,kall_congruentcircles_c71,1.502212856
bestdual,kall_congruentcircles_c72,1.966312503
best,kall_congruentcircles_c72,1.966314471
opt,kall_diffcircles_10,11.93549511
opt,kall_diffcircles_5a,5.116178901
opt,kall_diffcircles_5b,5.116178901
opt,kall_diffcircles_6,7.787894596
opt,kall_diffcircles_7,7.153131533
opt,kall_diffcircles_8,14.48125882
best,kall_diffcircles_9,13.35028546
bestdual,kall_diffcircles_9,13.35009113
opt,keller4.clq,11
opt,khb05250,106940226
opt,khb05250.mps.cuts,106940226
opt,khb05250.pre,106940226
inf,khb05250_inf,
opt,kl02,219
best,knp3-12,1.105572809
bestdual,knp3-12,4.010416667
bestdual,knp4-24,6.461958007
best,knp4-24,1
best,knp5-40,0.9848552014
bestdual,knp5-40,10
best,knp5-41,0.9688858952
bestdual,knp5-41,10.00925187
best,knp5-42,0.9575102929
bestdual,knp5-42,11.2
best,knp5-43,0.9465943097
bestdual,knp5-43,12
bestdual,knp5-44,10.72727273
best,knp5-44,0.937162012
opt,korcns,0
best,kport20,31.8092982
bestdual,kport20,30.82668979
best,kport40,37.17581241
bestdual,kport40,31.78793775
opt,l152lav,4722
inf,l152lav_inf,
opt,latin_square_10.stab,10
opt,launch,2257.797558
opt,layout_univariate_shifted_sos2_0.001,0
opt,layout_univariate_shifted_sos2_0.01,0
opt,layout_univariate_shifted_sos2_0.1,0
best,layout_univariate_sos2_0.001,0.195
best,layout_univariate_sos2_0.01,0.0894
best,layout_univariate_sos2_0.1,0.0464
opt,le450_15a.stab,75
opt,le450_15b.stab,78
opt,le450_15c.stab,41
best,le450_15d.stab,41
opt,le450_25a.stab,91
opt,le450_25b.stab,78
opt,le450_25c.stab,47
opt,le450_25d.stab,43
best,le450_5a.stab,90
best,le450_5b.stab,90
opt,le450_5c.stab,90
opt,le450_5d.stab,90
bestdual,least,0
best,least,14085.13985
best,lectsched-1-obj,73
opt,lectsched-4-obj,4
best,leo1,410749407
opt,leo2,404077000
best,like,1056.691872
opt,linear,89
opt,linking,2
opt,lip,5685067.877
best,liu,1132
best,lnts100,0.5545954012
best,lnts200,0.5545770161
best,lnts400,0.5545724137
best,lnts50,0.5546687649
best,lop97ic,4041.831512
bestdual,lop97ic,3613.971595
opt,lop97icx,4099.06
opt,lotsize,1480200
opt,lp4l,2967
opt,lrn,44479255.127
inf,lrsa120,
opt,lseu,1120
opt,lseu.mps.cuts,1120
opt,lseu.pre,1120
inf,lseu_inf,
opt,m100n500k4r1,-25
opt,m3,37.8
opt,m6,82.25687691
opt,m7,106.7568769
opt,m7_ar25_1,143.585
opt,m7_ar2_1,190.235
opt,m7_ar3_1,143.585
opt,m7_ar4_1,106.7568769
opt,m7_ar5_1,106.4600058
opt,ma-non,43409.5879
opt,macrophage,374
opt,manna81,-13164
opt,map18,-847
opt,map20,-922
opt,markshare1,1
opt,markshare1_1,0
inf,markshare1_inf,
opt,markshare2,1
opt,markshare2_1,0
inf,markshare2_inf,
opt,markshare4_0,1
inf,markshare_3_0,
opt,markshare_3_1,0
inf,markshare_3_2,
inf,markshare_3_3,
inf,markshare_3_4,
inf,markshare_3_5,
inf,markshare_4_0,
inf,markshare_4_1,
inf,markshare_4_2,
inf,markshare_4_4,
inf,markshare_4_5,
inf,markshare_5_0,
inf,markshare_5_1,
inf,markshare_5_2,
opt,markshare_5_3,0
inf,markshare_5_4,
inf,markshare_5_5,
inf,markshare_6_0,
inf,markshare_6_1,
inf,markshare_6_2,
inf,markshare_6_4,
inf,markshare_6_5,
inf,markshare_7_0,
inf,markshare_7_1,
inf,markshare_7_2,
inf,markshare_7_3,
inf,markshare_7_4,
inf,markshare_7_5,
inf,markshare_8_0,
inf,markshare_8_1,
inf,markshare_8_2,
inf,markshare_8_3,
inf,markshare_8_4,
opt,mas284,91405.7237
opt,mas74,11801.1857
inf,mas74_inf,
opt,mas76,40005.0541
inf,mas76_inf,
opt,mathopt1,0
opt,mathopt2,0
best,mathopt3,0
best,mathopt4,0
best,mathopt5_1,-0.9996118219
best,mathopt5_2,-1
best,mathopt5_3,-1.616424928
opt,mathopt5_4,0
best,mathopt5_5,-14.83795003
best,mathopt5_6,-0.9432915034
opt,mathopt5_7,-4.436728338
opt,mathopt5_8,-0.6860722798
best,mathopt6,-3.306867818
opt,maxgasflow,-44565800
best,maxmin,-0.3660960077
bestdual,maxmin,-0.916595963
best,mbtd,4.83333
bestdual,mbtd,2.5
opt,mcf128-4-1,14
opt,mcf128-4-1_int,14
opt,mcf2,65.6667
opt,mcf256-128-1,23
best,mcf256-128-1_int,23
opt,mcf64-4-1,10
opt,mcf64-4-1_int,10
best,mcf_int_128-128-10_ind,966
best,mcf_int_128-128-11_ind,974
best,mcf_int_128-128-12_ind,979
opt,mcf_int_128-128-1_ind,15
opt,mcf_int_128-128-2_ind,14
opt,mcf_int_128-128-3_ind,14
best,mcf_int_128-128-4_ind,29
best,mcf_int_128-128-5_ind,29
best,mcf_int_128-128-6_ind,30
opt,mcf_int_128-128-7_ind,0
opt,mcf_int_128-128-8_ind,3
opt,mcf_int_128-128-9_ind,0
opt,mcf_int_128-16-10_ind,6
opt,mcf_int_128-16-11_ind,8
best,mcf_int_128-16-12_ind,12
opt,mcf_int_128-16-1_ind,15
opt,mcf_int_128-16-2_ind,13
opt,mcf_int_128-16-3_ind,16
best,mcf_int_128-16-4_ind,28
opt,mcf_int_128-16-5_ind,28
opt,mcf_int_128-16-6_ind,27
opt,mcf_int_128-16-7_ind,1
opt,mcf_int_128-16-8_ind,1
opt,mcf_int_128-16-9_ind,0
best,mcf_int_128-32-10_ind,13
best,mcf_int_128-32-11_ind,18
best,mcf_int_128-32-12_ind,17
opt,mcf_int_128-32-1_ind,8
opt,mcf_int_128-32-2_ind,8
opt,mcf_int_128-32-3_ind,9
best,mcf_int_128-32-4_ind,33
best,mcf_int_128-32-5_ind,35
opt,mcf_int_128-32-6_ind,34
opt,mcf_int_128-32-7_ind,0
opt,mcf_int_128-32-8_ind,1
opt,mcf_int_128-32-9_ind,1
opt,mcf_int_128-4-10_ind,4
opt,mcf_int_128-4-11_ind,2
opt,mcf_int_128-4-12_ind,2
opt,mcf_int_128-4-1_ind,14
opt,mcf_int_128-4-2_ind,15
opt,mcf_int_128-4-3_ind,11
opt,mcf_int_128-4-4_ind,31
opt,mcf_int_128-4-5_ind,30
opt,mcf_int_128-4-6_ind,30
opt,mcf_int_128-4-7_ind,0
opt,mcf_int_128-4-8_ind,0
opt,mcf_int_128-4-9_ind,0
best,mcf_int_128-64-10_ind,947
best,mcf_int_128-64-11_ind,12
best,mcf_int_128-64-12_ind,22
opt,mcf_int_128-64-1_ind,12
opt,mcf_int_128-64-2_ind,12
opt,mcf_int_128-64-3_ind,13
best,mcf_int_128-64-4_ind,34
best,mcf_int_128-64-5_ind,35
best,mcf_int_128-64-6_ind,34
opt,mcf_int_128-64-7_ind,2
opt,mcf_int_128-64-8_ind,1
opt,mcf_int_128-64-9_ind,1
opt,mcf_int_128-8-10_ind,2
opt,mcf_int_128-8-11_ind,3
opt,mcf_int_128-8-12_ind,3
opt,mcf_int_128-8-1_ind,9
opt,mcf_int_128-8-2_ind,9
opt,mcf_int_128-8-3_ind,8
opt,mcf_int_128-8-4_ind,30
opt,mcf_int_128-8-5_ind,31
opt,mcf_int_128-8-6_ind,31
opt,mcf_int_128-8-7_ind,0
opt,mcf_int_128-8-8_ind,0
opt,mcf_int_128-8-9_ind,0
opt,mcf_int_64-16-10_ind,2
opt,mcf_int_64-16-11_ind,5
opt,mcf_int_64-16-12_ind,4
opt,mcf_int_64-16-1_ind,3
opt,mcf_int_64-16-2_ind,8
opt,mcf_int_64-16-3_ind,5
opt,mcf_int_64-16-4_ind,13
opt,mcf_int_64-16-5_ind,13
opt,mcf_int_64-16-6_ind,15
opt,mcf_int_64-16-7_ind,1
opt,mcf_int_64-16-8_ind,1
opt,mcf_int_64-16-9_ind,0
opt,mcf_int_64-32-10_ind,7
opt,mcf_int_64-32-11_ind,6
opt,mcf_int_64-32-12_ind,7
opt,mcf_int_64-32-1_ind,13
opt,mcf_int_64-32-2_ind,12
opt,mcf_int_64-32-3_ind,6
opt,mcf_int_64-32-4_ind,13
opt,mcf_int_64-32-5_ind,15
opt,mcf_int_64-32-6_ind,19
opt,mcf_int_64-32-7_ind,2
opt,mcf_int_64-32-8_ind,0
opt,mcf_int_64-32-9_ind,1
opt,mcf_int_64-4-10_ind,0
opt,mcf_int_64-4-11_ind,1
opt,mcf_int_64-4-12_ind,1
opt,mcf_int_64-4-1_ind,7
opt,mcf_int_64-4-2_ind,8
opt,mcf_int_64-4-3_ind,6
opt,mcf_int_64-4-4_ind,18
opt,mcf_int_64-4-5_ind,17
opt,mcf_int_64-4-6_ind,13
opt,mcf_int_64-4-7_ind,0
opt,mcf_int_64-4-8_ind,0
opt,mcf_int_64-4-9_ind,0
opt,mcf_int_64-64-10_ind,9
opt,mcf_int_64-64-11_ind,8
opt,mcf_int_64-64-12_ind,8
opt,mcf_int_64-64-1_ind,5
opt,mcf_int_64-64-2_ind,8
opt,mcf_int_64-64-3_ind,7
opt,mcf_int_64-64-4_ind,12
opt,mcf_int_64-64-5_ind,21
opt,mcf_int_64-64-6_ind,20
opt,mcf_int_64-64-7_ind,1
opt,mcf_int_64-64-8_ind,1
opt,mcf_int_64-64-9_ind,0
opt,mcf_int_64-8-10_ind,0
opt,mcf_int_64-8-11_ind,1
opt,mcf_int_64-8-12_ind,1
opt,mcf_int_64-8-1_ind,8
opt,mcf_int_64-8-2_ind,4
opt,mcf_int_64-8-3_ind,9
opt,mcf_int_64-8-4_ind,17
opt,mcf_int_64-8-5_ind,16
opt,mcf_int_64-8-6_ind,20
opt,mcf_int_64-8-7_ind,0
opt,mcf_int_64-8-8_ind,0
opt,mcf_int_64-8-9_ind,1
opt,mcsched,211913
opt,meanvar,5.243399074
opt,meanvarx,14.36923211
opt,meanvarxsc,14.3692
best,methanol100,0.0090222911
best,methanol200,0.0090222898
best,methanol400,0.0090222899
bestdual,methanol400,0
best,methanol50,0.0090222868
best,methanosarcina,2738
best,mhw4d,0.0293108307
opt,mik-250-1-100-1,-66729
opt,mik.250-1-100.1,-66729
opt,mik.250-1-50.1,-33641
opt,mik.250-1-50.2,-33108
opt,mik.250-1-50.3,-32021
opt,mik.250-1-50.4,-33562
opt,mik.250-1-50.5,-33310
opt,mik.250-10-50.2,-33120
opt,mik.250-10-50.5,-33472
opt,mik.250-20-75.1,-49716
opt,mik.250-20-75.2,-50768
opt,mik.250-20-75.3,-52242
opt,mik.250-20-75.4,-52301
opt,mik.250-20-75.5,-51532
opt,mik.250-5-100.2,-66923
opt,mik.250-5-100.4,-70776
opt,mik.250-5-50.1,-33642
opt,mik.250-5-50.2,-33108
opt,mik.250-5-50.4,-33732
opt,mik.250-5-50.5,-33337
opt,mik.500-1-100.4,-72318
opt,mik.500-1-100.5,-65587
opt,mik.500-1-50.2,-33042
opt,mik.500-1-50.3,-31952
opt,mik.500-1-50.5,-33139
opt,mik.500-1-75.1,-47749
opt,mik.500-1-75.3,-52412
opt,mik.500-10-75.3,-51158
opt,mik.500-5-50.5,-33569
opt,miles1000.stab,8
opt,miles1500.stab,5
opt,miles250.stab,44
opt,miles500.stab,18
opt,miles750.stab,12
opt,milinfract,2.63389959
opt,mine-166-5,-566395707.871
opt,mine-90-10,-784302337.633
best,mining,-243415140
best,minlphi,582.236142
opt,minlphix,316.6926954
bestdual,minsurf100,1.013101315
best,minsurf100,2.506949264
bestdual,minsurf25,1.204774539
best,minsurf25,2.519487676
best,minsurf50,2.51488916
bestdual,minsurf50,2.413661564
bestdual,minsurf75,1.01741402
best,minsurf75,2.505686479
opt,mip_146,151859
opt,mip_147,151859
opt,misc01,563.5
opt,misc01inf_minULR,1
opt,misc02,1690
opt,misc02inf_minULR,1
opt,misc03,3360
inf,misc03_inf,
opt,misc03inf_minULR,1
opt,misc04,2666.6992
opt,misc04inf_minULR,1
opt,misc05,2984.5
opt,misc05inf_minULR,1
opt,misc06,12850.8607
opt,misc06.mps.cuts,12850.8607
opt,misc06.pre,12850.8607
inf,misc06_inf,
opt,misc06inf_minULR,1
opt,misc07,2810
inf,misc07_inf,
opt,mitre,115155
opt,mkc,-563.846
opt,mkc1,-607.207
opt,mod008,307
opt,mod008.mps.cuts,307
opt,mod008.pre,307
inf,mod008_inf,
opt,mod008inf_minULR,1
opt,mod010,6548
inf,mod010_inf,
opt,mod011,-54558535.014
inf,mod011_inf,
opt,mod013,280.95
opt,mod013inf_minULR,1
opt,mod014,568.1007
opt,mod015,112313.363
opt,modglob,20740508.1
opt,modglob.mps.cuts,-668898051
inf,modglob_inf,
opt,modifieddense-1-c,1042
opt,modifieddense-3-m,485
opt,momentum1,109143.4935
opt,momentum2,12314.2196
best,momentum3,235248.2568
opt,monotonic,141.2731
opt,msc98-ip,19839497.0059
opt,mspp16,363
opt,mug100_1.col,4
opt,mug100_1.stab,33
inf,mug100_1_inf.col,
opt,mug100_25.stab,33
inf,mug100_25_inf.col,
opt,mug88_1.stab,29
inf,mug88_1_inf.col,
opt,mug88_25.stab,29
inf,mug88_25_inf.col,
opt,mulsol.i.1.stab,100
opt,mulsol.i.2.stab,90
opt,mulsol.i.3.stab,86
opt,mulsol.i.4.stab,86
opt,mulsol.i.5.stab,88
opt,multi-aggr,1.3339
bestdual,multiplants_mtg1a,433.11771
best,multiplants_mtg1a,391.6133684
bestdual,multiplants_mtg1b,1120.173862
best,multiplants_mtg1b,450.5478177
bestdual,multiplants_mtg1c,3531.3852
best,multiplants_mtg1c,683.9711885
best,multiplants_mtg2,7099.186211
bestdual,multiplants_mtg2,7389.157241
bestdual,multiplants_mtg5,6026.5933
best,multiplants_mtg5,5924.649301
bestdual,multiplants_mtg6,5947.49139
best,multiplants_mtg6,5314.431182
best,multiplants_stg1,355.0866387
bestdual,multiplants_stg1,9805.135131
best,multiplants_stg1a,390.9655223
bestdual,multiplants_stg1a,7147.83
best,multiplants_stg1b,471.7496464
bestdual,multiplants_stg1b,17773.372
best,multiplants_stg1c,708.4403348
bestdual,multiplants_stg1c,16480.3
best,multiplants_stg5,5843.272951
bestdual,multiplants_stg5,25829.20213
best,multiplants_stg6,5166.121303
bestdual,multiplants_stg6,37263.66579
opt,myciel3.col,4
opt,myciel3.stab,5
inf,myciel3_inf.col,
opt,myciel4.col,5
opt,myciel4.stab,11
inf,myciel4_inf.col,
opt,myciel5.stab,23
inf,myciel5_inf.col,
opt,myciel6.stab,47
opt,myciel7.stab,95
opt,mzzv11,-21718
opt,mzzv42z,-20540
best,n15-3,44665
best,n3-3,15920
best,n3700,1246489
best,n3705,1236944
best,n370a,1260577
opt,n3div36,130800
opt,n3seq24,52200
opt,n4-3,8993
opt,n9-3,14409
best,nag,1920
best,nb10tb,13823447600
opt,nd-10,52.4611
opt,nd-12,56.6696
opt,nd-13,63.0051
opt,nd-15,74.1921
opt,nd-16,97.9792
best,ndcc12,106.3541548
bestdual,ndcc12,52.13347704
bestdual,ndcc12persp,51.44656046
best,ndcc12persp,108.1138854
best,ndcc13,84.62501274
bestdual,ndcc13,69.0652976
bestdual,ndcc13persp,69.0652976
best,ndcc13persp,85.89192467
best,ndcc14,110.3275823
bestdual,ndcc14,65.41579143
bestdual,ndcc14persp,65.01038524
best,ndcc14persp,114.466698
best,ndcc15,94.6112071
bestdual,ndcc15,76.1042898
bestdual,ndcc15persp,76.1042898
best,ndcc15persp,94.6112071
best,ndcc16,112.071483
bestdual,ndcc16,65.19560521
best,ndcc16persp,113.5459483
bestdual,ndcc16persp,65.00553887
opt,nemhaus,31
opt,neos-1053234,0.5939
opt,neos-1053591,-3662.9144
best,neos-1056905,15
opt,neos-1058477,0.5467
opt,neos-1061020,-142745.3
opt,neos-1062641,-0
best,neos-1067731,1025569
opt,neos-1096528,388
opt,neos-1109824,378
best,neos-1112782,5.72148826e+11
best,neos-1112787,5.65037620163e+11
opt,neos-1120495,334
best,neos-1121679,4
opt,neos-1122047,161
opt,neos-1126860,41
opt,neos-1151496,6
opt,neos-1171448,-309
opt,neos-1171692,-273
best,neos-1171737,-194
opt,neos-1173026,0.4218
opt,neos-1200887,-74
opt,neos-1208069,2
opt,neos-1208135,2
opt,neos-1211578,-77
opt,neos-1215259,68
opt,neos-1215891,-1254
opt,neos-1223462,-751
opt,neos-1224597,-428
best,neos-1225589,1231065190
opt,neos-1228986,-123
opt,neos-1281048,601
best,neos-1311124,-181
best,neos-1324574,8
best,neos-1330346,8
opt,neos-1330635,25.8781
opt,neos-1337307,-202319
opt,neos-1337489,-77
best,neos-1346382,-176
opt,neos-1367061,31320456.3
opt,neos-1396125,3000.0453
opt,neos-1413153,105.12
opt,neos-1415183,105.73
opt,neos-1417043,31450000
opt,neos-1420205,40
best,neos-1420546,23079.1341
best,neos-1420790,3133.2887
best,neos-1423785,22105.3333
opt,neos-1425699,3179698980
best,neos-1426635,-176
best,neos-1426662,-44
best,neos-1427181,-102
best,neos-1427261,-127.25
best,neos-1429185,-76
best,neos-1429212,2596.52
best,neos-1429461,-101.25
opt,neos-1430701,-77
best,neos-1430811,475726667
best,neos-1436709,-128
best,neos-1436713,-152.5
opt,neos-1437164,8
best,neos-1439395,-180.3333
opt,neos-1440225,36
opt,neos-1440447,-100
best,neos-1440457,-179.25
best,neos-1440460,-179.25
opt,neos-1441553,8
best,neos-1442119,-181
best,neos-1442657,-154.5
opt,neos-1445532,-17041
opt,neos-1445738,-17380
opt,neos-1445743,-17905
opt,neos-1445755,-17227
opt,neos-1445765,-17783
best,neos-1451294,8
best,neos-1456979,176
best,neos-1460246,2606
opt,neos-1460265,13400
best,neos-1460543,14600
best,neos-1460641,88030
inf,neos-1461051,
best,neos-1464762,88024.75
opt,neos-1467067,-103
best,neos-1467371,1786.5
best,neos-1467467,1793.5
opt,neos-1480121,43
opt,neos-1489999,354
opt,neos-1516309,35954
opt,neos-1582420,91
best,neos-1593097,23136
best,neos-1595230,9
opt,neos-1597104,-30
opt,neos-1599274,32075.6
opt,neos-1601936,3
opt,neos-1603512,5
opt,neos-1603518,5
best,neos-1603965,619991763
best,neos-1605061,19
opt,neos-1605075,9
opt,neos-1616732,159
best,neos-1620770,9
opt,neos-1620807,6
best,neos-1622252,9
opt,neos-430149,56.6
opt,neos-476283,406.3632
opt,neos-480878,492.5144
opt,neos-494568,-101
best,neos-495307,3582
opt,neos-498623,16.6
opt,neos-501453,47454.6145
opt,neos-501474,51948.6072
opt,neos-503737,50
opt,neos-504674,3635.8714
opt,neos-504815,2296.22
opt,neos-506422,0
opt,neos-506428,583780
opt,neos-512201,513.5708
best,neos-520729,-1385000
opt,neos-522351,17891.0771
opt,neos-525149,61
opt,neos-530627,2995.2
opt,neos-538867,122
opt,neos-538916,134
opt,neos-544324,15
opt,neos-547911,13
opt,neos-548047,8
best,neos-548251,61
opt,neos-551991,11
opt,neos-555001,1210625
opt,neos-555298,1174300
opt,neos-555343,1512800
opt,neos-555424,1286800
opt,neos-555694,18.4
opt,neos-555771,18.6
opt,neos-555884,1232700
opt,neos-555927,690000
best,neos-565672,96847.6569
opt,neos-565815,14
opt,neos-570431,9
best,neos-574665,5761665.22
opt,neos-578379,0
best,neos-582605,1
opt,neos-583731,48
best,neos-584146,-0
opt,neos-584851,-11
best,neos-584866,-29
opt,neos-585192,461.1797
opt,neos-585467,399.3739
opt,neos-593853,1171462870
opt,neos-595904,64829.59
opt,neos-595905,26304.25
opt,neos-595925,37786.43
opt,neos-598183,18429.98
opt,neos-603073,16790.24
best,neos-611135,11664
opt,neos-611838,1763966.71
opt,neos-612125,1844367.88
opt,neos-612143,1795981.08
opt,neos-612162,1772948.96
opt,neos-619167,2.1416
